author,title,description,url,source,image,category,language,country,published_at
Ricardo Bonfim,Ibovespa opera entre perdas e ganhos com atenção a coronavírus no exterior e ambiente fiscal; dólar fica estável,"Mercado registra desempenho negativo na esteira de um pregão bastante volátil por conta das preocupações com o fiscal
The post Ibovespa opera entre perdas e ganhos com atenção a coronavírus no exterior e ambiente fiscal; dólar fica estável appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-opera-entre-perdas-e-ganhos-com-atencao-a-coronavirus-no-exterior-e-ambiente-fiscal-dolar-fica-estavel/,InfoMoney,,business,pt,br,2020-12-08T13:17:34+00:00
Ricardo Bonfim,Ibovespa opera entre perdas e ganhos após rali e em meio a cautela antes de Fomc e votação da LDO; dólar sobe,"Mercado registra desempenho errático após a Bolsa zerar as perdas no ano na sessão anterior
The post Ibovespa opera entre perdas e ganhos após rali e em meio a cautela antes de Fomc e votação da LDO; dólar sobe appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-opera-entre-perdas-e-ganhos-apos-rali-e-em-meio-a-cautela-antes-de-fomc-e-votacao-da-ldo-dolar-sobe/,InfoMoney,,business,pt,br,2020-12-16T13:13:32+00:00
rodrigoumpieres,Ibovespa Futuro sobe seguindo melhora externa com vacina na Europa e estímulos nos EUA; dólar tem alta,"Bolsa brasileira começa o dia esboçando uma reação junto com o exterior após a forte queda da véspera
The post Ibovespa Futuro sobe seguindo melhora externa com vacina na Europa e estímulos nos EUA; dólar tem alta appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-sobe-seguindo-melhora-externa-com-vacina-na-europa-e-estimulos-nos-eua-dolar-tem-alta/,InfoMoney,,business,pt,br,2020-12-22T12:07:36+00:00
Ricardo Bonfim,"Ibovespa fecha em queda de 4,4% no mês em meio a preocupação com estatais; dólar sobe 2,4% em fevereiro","Mercado aumentou a aversão a risco diante da cada vez mais incerta pauta liberal do governoThe post Ibovespa fecha em queda de 4,4% no mês em meio a preocupação com estatais; dólar sobe 2,4% em fevereiro appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-de-44-no-mes-em-meio-a-preocupacao-com-estatais-dolar-sobe-24-em-fevereiro/,InfoMoney,,business,pt,br,2021-02-26T21:34:50+00:00
Ricardo Bonfim,"Ibovespa opera entre perdas e ganhos após atingir máxima desde janeiro na véspera; dólar cai a R$ 5,07","Mercado registra ganhos estendendo o otimismo que toma conta dos investidores em dezembro
The post Ibovespa opera entre perdas e ganhos após atingir máxima desde janeiro na véspera; dólar cai a R$ 5,07 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-opera-entre-perdas-e-ganhos-apos-atingir-maxima-desde-janeiro-na-vespera-dolar-cai-a-r-507/,InfoMoney,,business,pt,br,2020-12-17T13:18:00+00:00
Ricardo Bonfim,"Ibovespa Futuro cai em meio a indicadores, exterior e expectativa por novo auxílio; dólar sobe a R$ 5,39","Pré-market mostra perdas depois do desempenho positivo do pregão anteriorThe post Ibovespa Futuro cai em meio a indicadores, exterior e expectativa por novo auxílio; dólar sobe a R$ 5,39 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-cai-em-meio-a-indicadores-exterior-e-expectativa-por-novo-auxilio-dolar-sobe-a-r-539/,InfoMoney,,business,pt,br,2021-02-12T12:15:43+00:00
Ricardo Bonfim,"Ibovespa Futuro sobe com recuperação depois de “efeito Lula” da véspera e segue exterior; dólar sobe a R$ 5,82","Pré-market mostra ganhos na esteira de um dia muito negativo; ainda no radar dos investidores, discussão sobre PEC Emergencial tem indefiniçõesThe post Ibovespa Futuro sobe com recuperação depois de &#8220;efeito Lula&#8221; da véspera e segue exterior; dólar sobe a R$ 5,82 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-sobe-com-recuperacao-depois-de-efeito-lula-da-vespera-e-segue-exterior-dolar-sobe-a-r-582/,InfoMoney,,business,pt,br,2021-03-09T12:22:50+00:00
Ricardo Bonfim,"Ibovespa Futuro cai com temores sobre coronavírus e após detalhamento de pacote de Biden; dólar sobe a R$ 5,24","Pré-market registra perdas diante de avaliações sobre a dificuldade de passar os estímulos no Congresso
The post Ibovespa Futuro cai com temores sobre coronavírus e após detalhamento de pacote de Biden; dólar sobe a R$ 5,24 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-cai-com-temores-sobre-coronavirus-e-apos-detalhamento-de-pacote-de-biden-dolar-sobe-a-r-524/,InfoMoney,,business,pt,br,2021-01-15T12:21:48+00:00
Ricardo Bonfim,"Ibovespa Futuro tem leve queda em meio a expectativas por decisão do Fed; dólar sobe a R$ 5,38","Pré-market indica mais um dia de perdas depois do índice à vista voltar para os 116 mil pontos na véspera, na quinta queda seguida
The post Ibovespa Futuro tem leve queda em meio a expectativas por decisão do Fed; dólar sobe a R$ 5,38 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-tem-leve-queda-em-meio-a-expectativas-por-decisao-do-fed-dolar-sobe-a-r-538/,InfoMoney,,business,pt,br,2021-01-27T12:21:59+00:00
Ricardo Bonfim,"Ibovespa tem queda em meio à expectativa por provável troca na Saúde; dólar sobe a R$ 5,60","Mercado registra desempenho negativo na esteira da incerteza política domésticaThe post Ibovespa tem queda em meio à expectativa por provável troca na Saúde; dólar sobe a R$ 5,60 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-tem-queda-em-meio-a-expectativa-por-provavel-troca-na-saude-dolar-sobe-a-r-560/,InfoMoney,,business,pt,br,2021-03-15T13:19:16+00:00
