author,title,description,url,source,image,category,language,country,published_at
Redação,Preços do petróleo caem mais de 7% e registram pior sessão desde setembro,"Dólar mais forte no exterior, aumento adicional nos estoques da commodity e de combustíveis nos Estados Unidos e noticiário sobre a Covid-19 guiam quedaThe post Preços do petróleo caem mais de 7% e registram pior sessão desde setembro appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/precos-do-petroleo-caem-mais-de-7-e-registram-pior-pregao-desde-setembro/,InfoMoney,,business,pt,br,2021-03-18T19:04:07+00:00
Bloomberg,Emissões de títulos devem seguir em alta em mercados emergentes,"Governos e empresas de economias em desenvolvimento venderam US$ 757,1 bi em títulos em dólares ou euros em 2020, o maior volume em mais de duas décadas
The post Emissões de títulos devem seguir em alta em mercados emergentes appeared first on InfoMoney.",https://www.infomoney.com.br/onde-investir/emissoes-de-titulos-devem-seguir-em-alta-em-mercados-emergentes/,InfoMoney,,business,pt,br,2020-12-30T17:57:09+00:00
Ricardo Bonfim,Ibovespa Futuro cai com preocupações em Wall Street e aumento nos casos de coronavírus por aqui,"Pré-market registra perdas na esteira do aumento na incerteza global enquanto o dólar futuro tem leve queda
The post Ibovespa Futuro cai com preocupações em Wall Street e aumento nos casos de coronavírus por aqui appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-cai-com-preocupacoes-em-wall-street-e-aumento-nos-casos-de-coronavirus-por-aqui/,InfoMoney,,business,pt,br,2021-01-29T12:18:28+00:00
marianafonseca,"Onde investir seu dinheiro para ganhar em um mundo pós-pandemia, na visão do Credit Suisse","Para o Credit Suisse, é hora de investir em commodities e ações de emergentes e fugir do dólar e dos títulos públicos
The post Onde investir seu dinheiro para ganhar em um mundo pós-pandemia, na visão do Credit Suisse appeared first on InfoMoney.",https://www.infomoney.com.br/onde-investir/onde-investir-seu-dinheiro-para-ganhar-em-um-mundo-pos-pandemia-na-visao-do-credit-suisse/,InfoMoney,,business,pt,br,2021-01-27T23:10:01+00:00
marianadavila,"Mercado eleva projeções para a Selic e vê taxa de 3,25% em 2021, e de 4,75%, em 2022","Economistas veem ainda inflação medida pelo IPCA de 3,34% e crescimento de 3,41% do PIB este ano, com dólar cotado a R$ 5
The post Mercado eleva projeções para a Selic e vê taxa de 3,25% em 2021, e de 4,75%, em 2022 appeared first on InfoMoney.",https://www.infomoney.com.br/economia/mercado-eleva-projecoes-para-a-selic-e-ve-taxa-de-325-em-2021-e-de-475-em-2022/,InfoMoney,,business,pt,br,2021-01-11T12:33:25+00:00
Ricardo Bonfim,Ibovespa Futuro sobe com otimismo nas commodities enquanto mundo espera por eleição no Senado dos EUA,"Pré-market registra ganhos e o dólar comercial tem leve variação negativa de 0,06% a R$ 5,2572
The post Ibovespa Futuro sobe com otimismo nas commodities enquanto mundo espera por eleição no Senado dos EUA appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-sobe-com-otimismo-nas-commodities-enquanto-mundo-espera-por-eleicao-no-senado-dos-eua/,InfoMoney,,business,pt,br,2021-01-06T12:19:20+00:00
lucasbombana,Retrospectiva 2020: confira quais foram as melhores aplicações financeiras do brasileiro neste ano atípico,"Investimentos globais guiados pelas gigantes de tecnologia e o dólar despontam na frente, mas renda fixa também trouxe ganhos bem acima do CDI
The post Retrospectiva 2020: confira quais foram as melhores aplicações financeiras do brasileiro neste ano atípico appeared first on InfoMoney.",https://www.infomoney.com.br/onde-investir/retrospectiva-2020-confira-quais-foram-as-melhores-aplicacoes-financeiras-do-brasileiro-neste-ano-atipico/,InfoMoney,,business,pt,br,2020-12-30T14:18:57+00:00
Ricardo Bonfim,"Ibovespa tem maior alta desde 5 de novembro e renova máxima histórica, fechando acima de 122 mil pontos","Mercado termina a sessão com ganhos expressivos enquanto o dólar teve valorização de 1,82% a R$ 5,39
The post Ibovespa tem maior alta desde 5 de novembro e renova máxima histórica, fechando acima de 122 mil pontos appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-tem-maior-alta-desde-5-de-novembro-e-renova-maxima-historica-fechando-acima-de-122-mil-pontos/,InfoMoney,,business,pt,br,2021-01-07T21:26:35+00:00
rodrigoumpieres,"Nasdaq sobe e renova máxima histórica com alta da Apple; índice de ADRs brasileiros cai 1,7% puxado por Eletrobras","Enquanto isso, o ETF EWZ iShares MSCI Brazil Capped, que replica o Ibovespa em dólar recuou 1,43%
The post Nasdaq sobe e renova máxima histórica com alta da Apple; índice de ADRs brasileiros cai 1,7% puxado por Eletrobras appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/nasdaq-sobe-e-renova-maxima-historica-com-alta-da-apple-indice-de-adrs-brasileiros-cai-17-puxado-por-eletrobras/,InfoMoney,,business,pt,br,2021-01-25T21:09:36+00:00
lucasbombana,O que esperar para 2021? Bolsas de emergentes despontam como uma das principais alternativas para capturar retomada econômica,"Já o dólar e o ouro, duas das principais proteções dos investidores em 2020, não devem repetir a dose nos próximos meses
The post O que esperar para 2021? Bolsas de emergentes despontam como uma das principais alternativas para capturar retomada econômica appeared first on InfoMoney.",https://www.infomoney.com.br/onde-investir/o-que-esperar-para-2021-bolsas-de-emergentes-despontam-como-uma-das-principais-alternativas-para-capturar-retomada-economica/,InfoMoney,,business,pt,br,2020-12-21T14:16:37+00:00
