"Data","Último","Abertura","Máxima","Mínima","Var%"
"24.03.2021","5,6213","5,5223","5,6418","5,4899","1,81%"
"23.03.2021","5,5214","5,5045","5,5509","5,4640","0,31%"
"22.03.2021","5,5045","5,5087","5,5483","5,4936","0,23%"
"19.03.2021","5,4917","5,5609","5,5640","5,4482","-1,24%"
"18.03.2021","5,5604","5,5860","5,5860","5,4763","-0,44%"
"17.03.2021","5,5847","5,6236","5,6810","5,5695","-0,71%"
"16.03.2021","5,6248","5,6252","5,6319","5,5578","0,16%"
"15.03.2021","5,6156","5,5501","5,6568","5,5310","1,15%"
"12.03.2021","5,5518","5,5362","5,5873","5,5324","0,29%"
"11.03.2021","5,5357","5,6078","5,6215","5,5257","-2,41%"
"10.03.2021","5,6723","5,7902","5,8134","5,6452","-2,24%"
"09.03.2021","5,8025","5,8753","5,8787","5,7675","-1,24%"
"08.03.2021","5,8755","5,6898","5,8769","5,6898","3,25%"
"05.03.2021","5,6908","5,6697","5,7232","5,6517","0,38%"
"04.03.2021","5,6693","5,5700","5,6852","5,5438","0,89%"
"03.03.2021","5,6193","5,6872","5,7729","5,5806","-1,01%"
"02.03.2021","5,6764","5,6386","5,7327","5,6386","0,61%"
"01.03.2021","5,6418","5,5870","5,6427","5,5553","0,77%"
"26.02.2021","5,5986","5,5340","5,6093","5,4905","1,23%"
"25.02.2021","5,5308","5,4450","5,5390","5,4173","2,30%"
"24.02.2021","5,4062","5,4409","5,4454","5,3895","-0,64%"
"23.02.2021","5,4412","5,4692","5,4836","5,4087","-0,45%"
"22.02.2021","5,4659","5,5128","5,5342","5,4296","1,55%"
"19.02.2021","5,3823","5,4267","5,4706","5,3670","-0,82%"
"18.02.2021","5,4270","5,3877","5,4535","5,3854","0,30%"
"17.02.2021","5,4105","5,3707","5,4331","5,3707","0,76%"
"16.02.2021","5,3695","5,3685","5,3707","5,3685","-0,01%"
"12.02.2021","5,3698","5,3953","5,4127","5,3542","0,06%"
"11.02.2021","5,3665","5,3882","5,4118","5,3330","-0,37%"
"10.02.2021","5,3863","5,3790","5,4368","5,3517","0,15%"
"09.02.2021","5,3781","5,3660","5,4478","5,3535","0,23%"
"08.02.2021","5,3657","5,4040","5,4208","5,3042","-0,09%"
"05.02.2021","5,3704","5,4270","5,4562","5,3436","-1,04%"
"04.02.2021","5,4266","5,3552","5,4571","5,3544","1,37%"
"03.02.2021","5,3534","5,3663","5,3945","5,3201","-0,27%"
"02.02.2021","5,3680","5,4326","5,4326","5,3425","-1,18%"
"01.02.2021","5,4322","5,4663","5,4863","5,4205","-0,55%"
"29.01.2021","5,4625","5,4390","5,5061","5,4189","0,40%"
"28.01.2021","5,4410","5,4250","5,4604","5,3898","0,50%"
"27.01.2021","5,4138","5,3556","5,4205","5,3491","1,09%"
"26.01.2021","5,3556","5,4720","5,4776","5,3141","-2,03%"
"25.01.2021","5,4665","5,4670","5,4670","5,4670","-0,00%"
"22.01.2021","5,4666","5,3547","5,4875","5,3547","2,17%"
"21.01.2021","5,3506","5,2544","5,4006","5,2314","1,11%"
"20.01.2021","5,2917","5,3589","5,3589","5,2823","-1,23%"
"19.01.2021","5,3578","5,2691","5,3685","5,2420","1,17%"
"18.01.2021","5,2957","5,3025","5,3229","5,2355","0,06%"
"15.01.2021","5,2927","5,1971","5,3108","5,1971","1,85%"
"14.01.2021","5,1967","5,2991","5,3034","5,1910","-1,93%"
"13.01.2021","5,2990","5,3233","5,3550","5,2702","-0,44%"
"12.01.2021","5,3226","5,4893","5,4942","5,3116","-3,03%"
"11.01.2021","5,4890","5,4666","5,5166","5,4491","1,31%"
"08.01.2021","5,4178","5,4108","5,4408","5,3208","0,14%"
"07.01.2021","5,4101","5,3169","5,4187","5,2989","1,81%"
"06.01.2021","5,3139","5,2863","5,3597","5,2318","0,54%"
"05.01.2021","5,2854","5,2955","5,3547","5,2515","-0,22%"
"04.01.2021","5,2968","5,1351","5,2972","5,1197","1,99%"
"01.01.2021","5,1935","5,1934","5,1935","5,1934","0,00%"
"31.12.2020","5,1935","5,1940","5,1940","5,1940","-0,00%"
"30.12.2020","5,1937","5,2051","5,2361","5,1519","-0,31%"
"29.12.2020","5,2099","5,2460","5,2473","5,1645","-0,69%"
"28.12.2020","5,2461","5,1784","5,3124","5,1639","0,57%"
"24.12.2020","5,2165","5,2168","5,2168","5,2168","0,00%"
"23.12.2020","5,2164","5,1604","5,2215","5,1287","1,10%"
"22.12.2020","5,1597","5,1220","5,1731","5,1094","0,73%"
"21.12.2020","5,1222","5,2012","5,2250","5,1122","0,39%"
"18.12.2020","5,1022","5,0592","5,1177","5,0592","0,87%"
"17.12.2020","5,0582","5,0601","5,0890","5,0421","-0,50%"
"16.12.2020","5,0838","5,0823","5,1440","5,0645","0,03%"
"15.12.2020","5,0823","5,1143","5,1241","5,0781","-0,72%"
"14.12.2020","5,1192","5,0424","5,1298","5,0107","1,06%"
"11.12.2020","5,0656","5,0438","5,0886","5,0288","0,80%"
"10.12.2020","5,0256","5,1109","5,1328","5,0143","-2,81%"
"09.12.2020","5,1708","5,1206","5,1981","5,0868","0,98%"
"08.12.2020","5,1206","5,1000","5,1384","5,0634","0,42%"
"07.12.2020","5,0990","5,1597","5,1701","5,0570","-1,10%"
"04.12.2020","5,1557","5,1540","5,1846","5,1164","0,08%"
"03.12.2020","5,1515","5,2178","5,2310","5,1209","-1,26%"
"02.12.2020","5,2175","5,2252","5,2554","5,2059","0,22%"
"01.12.2020","5,2061","5,3158","5,3301","5,2031","-2,36%"
"30.11.2020","5,3319","5,2906","5,3971","5,2737","-0,22%"
"27.11.2020","5,3438","5,3360","5,3801","5,3195","0,14%"
"26.11.2020","5,3365","5,3198","5,3584","5,2955","0,24%"
"25.11.2020","5,3237","5,3740","5,3956","5,3037","-0,93%"
"24.11.2020","5,3736","5,4409","5,4450","5,3703","-1,20%"
"23.11.2020","5,4390","5,3780","5,4507","5,3387","1,10%"
"20.11.2020","5,3797","5,2913","5,3959","5,2847","1,40%"
"19.11.2020","5,3054","5,3633","5,3805","5,2972","-1,07%"
"18.11.2020","5,3629","5,3285","5,3725","5,2740","0,65%"
"17.11.2020","5,3281","5,4165","5,4233","5,3221","-1,61%"
"16.11.2020","5,4152","5,4148","5,4584","5,3636","-0,78%"
"13.11.2020","5,4577","5,4580","5,5264","5,4497","-0,01%"
"12.11.2020","5,4581","5,4160","5,4904","5,3526","1,24%"
"11.11.2020","5,3910","5,4180","5,4571","5,3738","-0,44%"
"10.11.2020","5,4147","5,3737","5,4190","5,3345","0,54%"
"09.11.2020","5,3858","5,2746","5,4260","5,2235","0,39%"
"06.11.2020","5,3647","5,5255","5,5742","5,3586","-2,90%"
"05.11.2020","5,5250","5,6129","5,6310","5,5223","-2,45%"
"04.11.2020","5,6635","5,7565","5,7655","5,6434","-1,61%"
"03.11.2020","5,7560","5,6964","5,7667","5,6487","0,24%"
"02.11.2020","5,7425","5,7430","5,7430","5,7430","-0,04%"
