author,title,description,url,source,image,category,language,country,published_at
,Dólar,"Na quinta-feira (25), moeda norte-americana fechou em alta de 1,70%, a R$ 5,5129. Notas de dólarGary Cameron/ReutersO dólar abriu em alta nesta sexta-feira (26), após ter voltado a fechar na véspera acima de R$ 5,50.Às 9h10, a moeda norte-americana subia 0,42%, cotada a R$ 5,5363. Veja mais cotações. Na quinta-feira, o dólar fechou em alta de 1,7%, a R$ 5,5129, no maior patamar de fechamento desde 5 de novembro (R$ 5,5429), mesmo após intervenção do Banco Central. Na parcial do mês, passou a acumular alta de 0,98%. No ano, tem valorização de 6,28% ante o real. Por que a moeda...",https://g1.globo.com/economia/noticia/2021/02/26/dolar.ghtml,G1 - Economia,https://s2.glbimg.com/mwpwBWs8149TUS_xgsMaBoKsSiU=/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2018/A/v/h4ku5DS5ap1fGCV2OPtQ/dolar2.jpg,business,pt,br,2021-02-26T12:10:31+00:00
Bloomberg,Iniciativa de dólar digital do Fed preocupa Wall Street,"Bancos, empresas de cartão de crédito e processadores de pagamentos observam com nervosismo a iniciativa de criar uma alternativa eletrônica para o dólarThe post Iniciativa de dólar digital do Fed preocupa Wall Street appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/iniciativa-de-dolar-digital-do-fed-preocupa-wall-street/,InfoMoney,,business,pt,br,2021-03-22T19:58:25+00:00
Bloomberg,Mercado diz que só aumento agressivo da Selic pode segurar dólar,Operadores de câmbio dizem que seria necessário uma elevação de um ponto percentual para conseguir impulsionar o realThe post Mercado diz que só aumento agressivo da Selic pode segurar dólar appeared first on InfoMoney.,https://www.infomoney.com.br/onde-investir/mercado-diz-que-so-aumento-agressivo-da-selic-pode-segurar-dolar/,InfoMoney,,business,pt,br,2021-03-15T15:02:51+00:00
Ricardo Bonfim,Ibovespa cai com expectativa por informações sobre novo auxílio antes do Carnaval; dólar zera ganhos,Mercado registra perdas depois do otimismo da véspera enquanto os ruídos fiscais seguem na pautaThe post Ibovespa cai com expectativa por informações sobre novo auxílio antes do Carnaval; dólar zera ganhos appeared first on InfoMoney.,https://www.infomoney.com.br/mercados/ibovespa-cai-com-expectativa-por-informacoes-sobre-novo-auxilio-antes-do-carnaval-dolar-zera-ganhos/,InfoMoney,,business,pt,br,2021-02-12T13:19:16+00:00
Bloomberg,Oi aumenta incentivo financeiro a detentores de títulos em dólar para novos empréstimos,"A Oi elevou a oferta de US$ 5 por cada US$ 1.000 em notas para US$ 10, de acordo com informações obtidas pela BloombergThe post Oi aumenta incentivo financeiro a detentores de títulos em dólar para novos empréstimos appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/oi-aumenta-incentivo-financeiro-a-detentores-de-titulos-em-dolar-para-novos-emprestimos/,InfoMoney,,business,pt,br,2021-03-23T20:50:53+00:00
Ricardo Bonfim,"Ibovespa fecha em queda de 0,7% antes de “Super Quarta”; dólar cai a R$ 5,61","Mercado registrou perdas em um pregão que foi teve muita ansiedade por decisões de política monetáriaThe post Ibovespa fecha em queda de 0,7% antes de &#8220;Super Quarta&#8221;; dólar cai a R$ 5,61 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-de-07-antes-de-super-quarta-dolar-cai-a-r-561/,InfoMoney,,business,pt,br,2021-03-16T20:31:12+00:00
Reuters,Dólar tem maior série de baixas desde novembro em semana marcada por Copom e Fed,"O real revezou com a lira turca o posto de moeda com melhor desempenho global nesta sessão, depois das decisões de juros nos dois paísesThe post Dólar tem maior série de baixas desde novembro em semana marcada por Copom e Fed appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/dolar-tem-maior-serie-de-baixas-desde-novembro-em-semana-marcada-por-copom-e-fed/,InfoMoney,,business,pt,br,2021-03-19T23:00:36+00:00
Beatriz Cutait,"Não aposte contra o dólar, mas reforce a exposição global de sua carteira: confira as recomendações de gestores","Apesar de alta de juros no Brasil, gestores de patrimônio sugerem cautela com apostas direcionais no câmbio, mas reforçam o valor da diversificaçãoThe post Não aposte contra o dólar, mas reforce a exposição global de sua carteira: confira as recomendações de gestores appeared first on InfoMoney.",https://www.infomoney.com.br/onde-investir/sem-apostas-contra-o-dolar-porem-com-reforco-na-exposicao-global-confira-as-recomendacoes-de-gestores/,InfoMoney,,business,pt,br,2021-03-22T18:14:00+00:00
Estadão Conteúdo,"Petróleo é commodity, cobrada em dólar e não há como fugir, diz Castello Branco","Presidente da Petrobras defendeu novamente a política de preços de combustíveis da estatalThe post Petróleo é commodity, cobrada em dólar e não há como fugir, diz Castello Branco appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/petroleo-e-commodity-cobrada-em-dolar-e-nao-ha-como-fugir-diz-castello-branco/,InfoMoney,,business,pt,br,2021-02-25T15:20:00+00:00
Ricardo Bonfim,"Ibovespa cai com investidores cautelosos antes de decisões de Copom e Fomc; dólar sobe a R$ 5,66","Mercado registra perdas em dia de muita atenção a política monetária enquanto yields dos treasuries disparamThe post Ibovespa cai com investidores cautelosos antes de decisões de Copom e Fomc; dólar sobe a R$ 5,66 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-cai-com-investidores-cautelosos-antes-de-decisoes-de-copom-e-fomc-dolar-sobe-a-r-566/,InfoMoney,,business,pt,br,2021-03-17T13:14:00+00:00
Ricardo Bonfim,"Ibovespa fecha em queda pressionado por exterior; dólar cai a R$ 5,57 repercutindo Copom","Mercado encerra sessão com perdas devido ao sell-off que tomou conta das bolsas nos EUAThe post Ibovespa fecha em queda pressionado por exterior; dólar cai a R$ 5,57 repercutindo Copom appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-fecha-em-queda-pressionado-por-exterior-dolar-cai-a-r-557-repercutindo-copom/,InfoMoney,,business,pt,br,2021-03-18T20:21:45+00:00
rodrigoumpieres,"Ibovespa opera próximo da estabilidade entre resultados e indicadores nos EUA; dólar sobe a R$ 5,44","Índice abriu em alta, mas sem muita força enquanto investidores digerem bateria de resultados e ficam de olho a dados nos Estados UnidosThe post Ibovespa opera próximo da estabilidade entre resultados e indicadores nos EUA; dólar sobe a R$ 5,44 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-opera-proximo-da-estabilidade-entre-resultados-e-indicadores-nos-eua-dolar-sobe-a-r-544/,InfoMoney,,business,pt,br,2021-02-25T13:18:29+00:00
Reuters,"Dólar futuro supera R$ 5,85 após choque do mercado com decisão de Fachin sobre Lula","Nas operações interbancárias, o dólar fechou em alta de 1,66%, a R$ 5,7787 na venda - maior nível desde 15 de maio do ano passado (R$ 5,8392)The post Dólar futuro supera R$ 5,85 após choque do mercado com decisão de Fachin sobre Lula appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/dolar-futuro-supera-r-585-apos-choque-do-mercado-com-decisao-de-fachin-sobre-lula/,InfoMoney,,business,pt,br,2021-03-08T21:15:41+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
Ricardo Bonfim,"Ibovespa Futuro sobe após Copom elevar a Selic a 2,75%; dólar cai a R$ 5,48","Pré-market registra ganhos diante da sinalização firme de combate à inflação realizada pela autoridade monetáriaThe post Ibovespa Futuro sobe após Copom elevar a Selic a 2,75%; dólar cai a R$ 5,48 appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-sobe-apos-copom-elevar-a-selic-a-275-dolar-cai-a-r-548/,InfoMoney,,business,pt,br,2021-03-18T12:15:41+00:00
rodrigoumpieres,Ibovespa Futuro cai seguindo exterior com piora da pandemia antes de fala de Powell e Yellen; dólar sobe,"Bolsa recua seguindo índices internacionais, enquanto investidores locais acompanham ata do Copom e aumento de casos de coronavírusThe post Ibovespa Futuro cai seguindo exterior com piora da pandemia antes de fala de Powell e Yellen; dólar sobe appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-futuro-cai-seguindo-exterior-com-piora-da-pandemia-antes-de-fala-de-powell-e-yellen-dolar-sobe/,InfoMoney,,business,pt,br,2021-03-23T12:12:07+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
Ricardo Bonfim,"Ibovespa sobe com atenção a resultados de empresas e política, e se descola do exterior; dólar vira para queda","Mercado mostra desempenho positivo na esteira da temporada de balanços e com expectativa por indicadores econômicosThe post Ibovespa sobe com atenção a resultados de empresas e política, e se descola do exterior; dólar vira para queda appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-com-atencao-a-resultados-de-empresas-e-politica-e-se-descola-do-exterior-dolar-vira-para-queda/,InfoMoney,,business,pt,br,2021-02-26T13:13:23+00:00
Ricardo Bonfim,Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa,"Mercado registra desempenho errático após três sessões seguidas de expressiva alta
The post Ibovespa sobe puxado por Vale e bancos em meio a noticiário corporativo; dólar tem leve baixa appeared first on InfoMoney.",https://www.infomoney.com.br/mercados/ibovespa-sobe-puxado-por-vale-e-bancos-em-meio-a-noticiario-corporativo-dolar-tem-leve-baixa/,InfoMoney,,business,pt,br,2021-02-04T13:17:00+00:00
